QUERIES_TOP  ,QUERIES_TOP popularity,QUERIES_RISING,QUERIES_RISING POPULARITY
skin exfoliant,100,bha exfoliant,Breakout
bha exfoliant,78,bha,Breakout
bha,72,best exfoliant,Breakout
best exfoliant,70,face exfoliant,Breakout
face exfoliant,70,chemical exfoliant,Breakout
chemical exfoliant,65,exfoliant for face,Breakout
exfoliant for face,37,liquid exfoliant,Breakout
liquid exfoliant,36,acid exfoliant,Breakout
acid exfoliant,36,body exfoliant,Breakout
exfoliant scrub,32,facial exfoliant,Breakout
natural exfoliant,28,bha liquid exfoliant,Breakout
body exfoliant,27,dermalogica,Breakout
facial exfoliant,26,aha exfoliant,Breakout
bha liquid exfoliant,22,aha,Breakout
dermalogica exfoliant,21,best chemical exfoliant,Breakout
dermalogica,21,toner,Breakout
exfoliator,21,exfoliant products,Breakout
aha exfoliant,20,salicylic acid,Breakout
aha,20,best exfoliant for face,Breakout
homemade exfoliant,17,exfoliant for sensitive skin,Breakout
best chemical exfoliant,16,the ordinary exfoliant,Breakout
toner,15,lip exfoliant,Breakout
exfoliate,15,paulas choice exfoliant,Breakout
ordinary exfoliant,14,aha bha exfoliant,Breakout
sugar exfoliant,14,2 bha liquid exfoliant,Breakout
